SECTNO,SUBJECT,TEXT
15.501,Definition.,"Day, as used in this subpart, has the meaning set forth at 33.101."
15.502,Applicability.,"This subpart applies to competitive proposals, as described in 6.102(b), and a combination of competitive procedures, as described in 6.102(c). The procedures in 15.504, 15.506, 15.507, 15.508, and 15.509, with reasonable modification, should be followed for sole source acquisitions and acquisitions described in 6.102(d)(1) and (2)."
15.503,Notifications to unsuccessful offerors.,"(a) Preaward notices —(1) Preaward notices of exclusion from competitive range. The contracting officer shall notify offerors promptly in writing when their proposals are excluded from the competitive range or otherwise eliminated from the competition. The notice shall state the basis for the determination and that a proposal revision will not be considered. (2) Preaward notices for small business programs. (i) In addition to the notice in paragraph (a)(1) of this section, the contracting officer shall notify each offeror in writing prior to award and upon completion of negotiations and determinations of responsibility— (A) When using a small business set-aside (see subpart 19.5); (B) When using the HUBZone procedures in 19.1305 or 19.1307; (C) When using the service-disabled veteran-owned small business procedures in 19.1405; or (D) When using the Women-Owned Small Business Program procedures in 19.1505. (ii) The notice shall state— (A) The name and address of the apparently successful offeror; (B) That the Government will not consider subsequent revisions of the offeror's proposal; and (C) That no response is required unless a basis exists to challenge the size status or small business status of the apparently successful offeror ( e.g., small business concern, small disadvantaged business concern, HUBZone small business concern, service-disabled veteran-owned small business concern, economically disadvantaged women-owned small business concern, or women-owned small business concern eligible under the Women-Owned Small Business Program). (iii) The notice is not required when the contracting officer determines in writing that the urgency of the requirement necessitates award without delay or when the contract is entered into under the 8(a) program (see 19.805-2). (b) Postaward notices. (1) Within 3 days after the date of contract award, the contracting officer shall provide written notification to each offeror whose proposal was in the competitive range but was not selected for award (10 U.S.C. 2305(b)(5) and 41 U.S.C. 3704) or had not been previously notified under paragraph (a) of this section. The notice shall include— (i) The number of offerors solicited; (ii) The number of proposals received; (iii) The name and address of each offeror receiving an award; (iv) The items, quantities, and any stated unit prices of each award. If the number of items or other factors makes listing any stated unit prices impracticable at that time, only the total contract price need be furnished in the notice. However, the items, quantities, and any stated unit prices of each award shall be made publicly available, upon request; and (v) In general terms, the reason(s) the offeror's proposal was not accepted, unless the price information in paragraph (b)(1)(iv) of this section readily reveals the reason. In no event shall an offeror's cost breakdown, profit, overhead rates, trade secrets, manufacturing processes and techniques, or other confidential business information be disclosed to any other offeror. (2) Upon request, the contracting officer shall furnish the information described in paragraph (b)(1) of this section to unsuccessful offerors in solicitations using simplified acquisition procedures in part 13. (3) Upon request, the contracting officer shall provide the information in paragraph (b)(1) of this section to unsuccessful offerors that received a preaward notice of exclusion from the competitive range."
15.504,Award to successful offeror.,"The contracting officer shall award a contract to the successful offeror by furnishing the executed contract or other notice of the award to that offeror. (a) If the award document includes information that is different than the latest signed proposal, as amended by the offeror's written correspondence, both the offeror and the contracting officer shall sign the contract award. (b) When an award is made to an offeror for less than all of the items that may be awarded and additional items are being withheld for subsequent award, each notice shall state that the Government may make subsequent awards on those additional items within the proposal acceptance period. (c) If the Optional Form (OF) 307, Contract Award, Standard Form (SF) 26, Award/Contract, or SF 33, Solicitation, Offer and Award, is not used to award the contract, the first page of the award document shall contain the Government's acceptance statement from Block 15 of that form, exclusive of the Item 3 reference language, and shall contain the contracting officer's name, signature, and date. In addition, if the award document includes information that is different than the signed proposal, as amended by the offeror's written correspondence, the first page shall include the contractor's agreement statement from Block 14 of the OF 307 and the signature of the contractor's authorized representative."
15.505,Preaward debriefing of offerors.,"Offerors excluded from the competitive range or otherwise excluded from the competition before award may request a debriefing before award (10 U.S.C. 2305(b)(6)(A) and 41 U.S.C. 3705). (a)(1) The offeror may request a preaward debriefing by submitting a written request for debriefing to the contracting officer within 3 days after receipt of the notice of exclusion from the competition. (2) At the offeror's request, this debriefing may be delayed until after award. If the debriefing is delayed until after award, it shall include all information normally provided in a postaward debriefing (see 15.506(d)). Debriefings delayed pursuant to this paragraph could affect the timeliness of any protest filed subsequent to the debriefing. (3) If the offeror does not submit a timely request, the offeror need not be given either a preaward or a postaward debriefing. Offerors are entitled to no more than one debriefing for each proposal. (b) The contracting officer shall make every effort to debrief the unsuccessful offeror as soon as practicable, but may refuse the request for a debriefing if, for compelling reasons, it is not in the best interests of the Government to conduct a debriefing at that time. The rationale for delaying the debriefing shall be documented in the contract file. If the contracting officer delays the debriefing, it shall be provided no later than the time postaward debriefings are provided under 15.506. In that event, the contracting officer shall include the information at 15.506(d) in the debriefing. (c) Debriefings may be done orally, in writing, or by any other method acceptable to the contracting officer. (d) The contracting officer should normally chair any debriefing session held. Individuals who conducted the evaluations shall provide support. (e) At a minimum, preaward debriefings shall include— (1) The agency's evaluation of significant elements in the offeror's proposal; (2) A summary of the rationale for eliminating the offeror from the competition; and (3) Reasonable responses to relevant questions about whether source selection procedures contained in the solicitation, applicable regulations, and other applicable authorities were followed in the process of eliminating the offeror from the competition. (f) Preaward debriefings shall not disclose— (1) The number of offerors; (2) The identity of other offerors; (3) The content of other offerors proposals; (4) The ranking of other offerors; (5) The evaluation of other offerors; or (6) Any of the information prohibited in 15.506(e). (g) An official summary of the debriefing shall be included in the contract file."
15.506,Postaward debriefing of offerors.,"(a)(1) An offeror, upon its written request received by the agency within 3 days after the date on which that offeror has received notification of contract award in accordance with 15.503(b), shall be debriefed and furnished the basis for the selection decision and contract award. (2) To the maximum extent practicable, the debriefing should occur within 5 days after receipt of the written request. Offerors that requested a postaward debriefing in lieu of a preaward debriefing, or whose debriefing was delayed for compelling reasons beyond contract award, also should be debriefed within this time period. (3) An offeror that was notified of exclusion from the competition (see 15.505(a)), but failed to submit a timely request, is not entitled to a debriefing. (4)(i) Untimely debriefing requests may be accommodated. (ii) Government accommodation of a request for delayed debriefing pursuant to 15.505(a)(2), or any untimely debriefing request, does not automatically extend the deadlines for filing protests. Debriefings delayed pursuant to 15.505(a)(2) could affect the timeliness of any protest filed subsequent to the debriefing. (b) Debriefings of successful and unsuccessful offerors may be done orally, in writing, or by any other method acceptable to the contracting officer. (c) The contracting officer should normally chair any debriefing session held. Individuals who conducted the evaluations shall provide support. (d) At a minimum, the debriefing information shall include— (1) The Government's evaluation of the significant weaknesses or deficiencies in the offeror's proposal, if applicable; (2) The overall evaluated cost or price (including unit prices), and technical rating, if applicable, of the successful offeror and the debriefed offeror, and past performance information on the debriefed offeror; (3) The overall ranking of all offerors, when any ranking was developed by the agency during the source selection; (4) A summary of the rationale for award; (5) For acquisitions of commercial items, the make and model of the item to be delivered by the successful offeror; and (6) Reasonable responses to relevant questions about whether source selection procedures contained in the solicitation, applicable regulations, and other applicable authorities were followed. (e) The debriefing shall not include point-by-point comparisons of the debriefed offeror's proposal with those of other offerors. Moreover, the debriefing shall not reveal any information prohibited from disclosure by 24.202 or exempt from release under the Freedom of Information Act (5 U.S.C. 552) including— (1) Trade secrets; (2) Privileged or confidential manufacturing processes and techniques; (3) Commercial and financial information that is privileged or confidential, including cost breakdowns, profit, indirect cost rates, and similar information; and (4) The names of individuals providing reference information about an offeror's past performance. (f) An official summary of the debriefing shall be included in the contract file."
15.507,Protests against award.,"(a) Protests against award in negotiated acquisitions shall be handled in accordance with part 33. Use of agency protest procedures that incorporate the alternative dispute resolution provisions of Executive Order 12979 is encouraged for both preaward and postaward protests. (b) If a protest causes the agency, within 1 year of contract award, to— (1) Issue a new solicitation on the protested contract award, the contracting officer shall provide the information in paragraph (c) of this section to all prospective offerors for the new solicitation; or (2) Issue a new request for revised proposals on the protested contract award, the contracting officer shall provide the information in paragraph (c) of this section to offerors that were in the competitive range and are requested to submit revised proposals. (c) The following information will be provided to appropriate parties: (1) Information provided to unsuccessful offerors in any debriefings conducted on the original award regarding the successful offeror's proposal; and (2) Other nonproprietary information that would have been provided to the original offerors."
15.508,Discovery of mistakes.,Mistakes in a contractor's proposal that are disclosed after award shall be processed substantially in accordance with the procedures for mistakes in bids at 14.407-4.
15.509,Forms.,"Optional Form 307, Contract Award, Standard Form (SF) 26, Award/Contract, or SF 33, Solicitation, Offer and Award, may be used to award negotiated contracts in which the signature of both parties on a single document is appropriate. Note however, if using the SF 26 for a negotiated procurement, block 18 is not to be used. If these forms are not used, the award document shall incorporate the agreement and award language from the OF 307."
15.600,Scope of subpart.,"This subpart sets forth policies and procedures concerning the submission, receipt, evaluation, and acceptance or rejection of unsolicited proposals."
15.601,Definitions.,"As used in this subpart— Advertising material means material designed to acquaint the Government with a prospective contractor's present products, services, or potential capabilities, or designed to stimulate the Government's interest in buying such products or services. Commercial item offer means an offer of a commercial item that the vendor wishes to see introduced in the Government's supply system as an alternate or a replacement for an existing supply item. This term does not include innovative or unique configurations or uses of commercial items that are being offered for further development and that may be submitted as an unsolicited proposal. Contribution means a concept, suggestion, or idea presented to the Government for its use with no indication that the source intends to devote any further effort to it on the Government's behalf."
15.602,Policy.,"It is the policy of the Government to encourage the submission of new and innovative ideas in response to Broad Agency Announcements, Small Business Innovation Research topics, Small Business Technology Transfer Research topics, Program Research and Development Announcements, or any other Government-initiated solicitation or program. When the new and innovative ideas do not fall under topic areas publicized under those programs or techniques, the ideas may be submitted as unsolicited proposals."
15.603,General.,"(a) Unsolicited proposals allow unique and innovative ideas or approaches that have been developed outside the Government to be made available to Government agencies for use in accomplishment of their missions. Unsolicited proposals are offered with the intent that the Government will enter into a contract with the offeror for research and development or other efforts supporting the Government mission, and often represent a substantial investment of time and effort by the offeror. (b) Advertising material, commercial item offers, or contributions, as defined in 15.601, or routine correspondence on technical issues, are not unsolicited proposals. (c) A valid unsolicited proposal must— (1) Be innovative and unique; (2) Be independently originated and developed by the offeror; (3) Be prepared without Government supervision, endorsement, direction, or direct Government involvement; (4) Include sufficient detail to permit a determination that Government support could be worthwhile and the proposed work could benefit the agency's research and development or other mission responsibilities; (5) Not be an advance proposal for a known agency requirement that can be acquired by competitive methods; and (6) Not address a previously published agency requirement. (d) Unsolicited proposals in response to a publicized general statement of agency needs are considered to be independently originated. (e) Agencies must evaluate unsolicited proposals for energy-savings performance contracts in accordance with the procedures in 10 CFR 436.33(b)."
15.604,Agency points of contact.,"(a) Preliminary contact with agency technical or other appropriate personnel before preparing a detailed unsolicited proposal or submitting proprietary information to the Government may save considerable time and effort for both parties (see 15.201). Agencies must make available to potential offerors of unsolicited proposals at least the following information: (1) Definition (see 2.101) and content (see 15.605) of an unsolicited proposal acceptable for formal evaluation. (2) Requirements concerning responsible prospective contractors (see subpart 9.1), and organizational conflicts of interest (see subpart 9.5). (3) Guidance on preferred methods for submitting ideas/concepts to the Government, such as any agency: upcoming solicitations; Broad Agency Announcements; Small Business Innovation Research programs; Small Business Technology Transfer Research programs; Program Research and Development Announcements; or grant programs. (4) Agency points of contact for information regarding advertising, contributions, and other types of transactions similar to unsolicited proposals. (5) Information sources on agency objectives and areas of potential interest. (6) Procedures for submission and evaluation of unsolicited proposals. (7) Instructions for identifying and marking proprietary information so that it is protected and restrictive legends conform to 15.609. (b) Only the cognizant contracting officer has the authority to bind the Government regarding unsolicited proposals."
15.605,Content of unsolicited proposals.,"Unsolicited proposals should contain the following information to permit consideration in an objective and timely manner: (a) Basic information including— (1) Offeror's name and address and type of organization; e.g., profit, nonprofit, educational, small business; (2) Names and telephone numbers of technical and business personnel to be contacted for evaluation or negotiation purposes; (3) Identification of proprietary data to be used only for evaluation purposes; (4) Names of other Federal, State, or local agencies or parties receiving the proposal or funding the proposed effort; (5) Date of submission; and (6) Signature of a person authorized to represent and contractually obligate the offeror. (b) Technical information including— (1) Concise title and abstract (approximately 200 words) of the proposed effort; (2) A reasonably complete discussion stating the objectives of the effort or activity, the method of approach and extent of effort to be employed, the nature and extent of the anticipated results, and the manner in which the work will help to support accomplishment of the agency's mission; (3) Names and biographical information on the offeror's key personnel who would be involved, including alternates; and (4) Type of support needed from the agency; e.g., Government property or personnel resources. (c) Supporting information including— (1) Proposed price or total estimated cost for the effort in sufficient detail for meaningful evaluation; (2) Period of time for which the proposal is valid (a 6-month minimum is suggested); (3) Type of contract preferred; (4) Proposed duration of effort; (5) Brief description of the organization, previous experience, relevant past performance, and facilities to be used; (6) Other statements, if applicable, about organizational conflicts of interest, security clearances, and environmental impacts; and (7) The names and telephone numbers of agency technical or other agency points of contact already contacted regarding the proposal."
15.606,Agency procedures.,"(a) Agencies shall establish procedures for controlling the receipt, evaluation, and timely disposition of unsolicited proposals consistent with the requirements of this subpart. The procedures shall include controls on the reproduction and disposition of proposal material, particularly data identified by the offeror as subject to duplication, use, or disclosure restrictions. (b) Agencies shall establish agency points of contact (see 15.604) to coordinate the receipt and handling of unsolicited proposals."
15.606-1,Receipt and initial review.,"(a) Before initiating a comprehensive evaluation, the agency contact point shall determine if the proposal— (1) Is a valid unsolicited proposal, meeting the requirements of 15.603(c); (2) Is suitable for submission in response to an existing agency requirement (see 15.602); (3) Is related to the agency mission; (4) Contains sufficient technical information and cost-related or price-related information for evaluation; (5) Has overall scientific, technical, or socioeconomic merit; (6) Has been approved by a responsible official or other representative authorized to obligate the offeror contractually; and (7) Complies with the marking requirements of 15.609. (b) If the proposal meets these requirements, the contact point shall promptly acknowledge receipt and process the proposal. (c) If a proposal is rejected because the proposal does not meet the requirements of paragraph (a) of this subsection, the agency contact point shall promptly inform the offeror of the reasons for rejection in writing and of the proposed disposition of the unsolicited proposal."
15.606-2,Evaluation.,"(a) Comprehensive evaluations shall be coordinated by the agency contact point, who shall attach or imprint on each unsolicited proposal, circulated for evaluation, the legend required by 15.609(d). When performing a comprehensive evaluation of an unsolicited proposal, evaluators shall consider the following factors, in addition to any others appropriate for the particular proposal: (1) Unique, innovative and meritorious methods, approaches, or concepts demonstrated by the proposal; (2) Overall scientific, technical, or socioeconomic merits of the proposal; (3) Potential contribution of the effort to the agency's specific mission; (4) The offeror's capabilities, related experience, facilities, techniques, or unique combinations of these that are integral factors for achieving the proposal objectives; (5) The qualifications, capabilities, and experience of the proposed principal investigator, team leader, or key personnel critical to achieving the proposal objectives; and (6) The realism of the proposed cost. (b) The evaluators shall notify the agency point of contact of their recommendations when the evaluation is completed."
15.607,Criteria for acceptance and negotiation of an unsolicited proposal.,"(a) A favorable comprehensive evaluation of an unsolicited proposal does not, in itself, justify awarding a contract without providing for full and open competition. The agency point of contact shall return an unsolicited proposal to the offeror, citing reasons, when its substance— (1) Is available to the Government without restriction from another source; (2) Closely resembles a pending competitive acquisition requirement; (3) Does not relate to the activity's mission; or (4) Does not demonstrate an innovative and unique method, approach, or concept, or is otherwise not deemed a meritorious proposal. (b) The contracting officer may commence negotiations on a sole source basis only when— (1) An unsolicited proposal has received a favorable comprehensive evaluation; (2) A justification and approval has been obtained (see 6.302-1(a)(2)(i) for research proposals or other appropriate provisions of subpart 6.3, and 6.303-2(c)); (3) The agency technical office sponsoring the contract furnishes the necessary funds; and (4) The contracting officer has complied with the synopsis requirements of subpart 5.2."
15.608,Prohibitions.,"(a) Government personnel shall not use any data, concept, idea, or other part of an unsolicited proposal as the basis, or part of the basis, for a solicitation or in negotiations with any other firm unless the offeror is notified of and agrees to the intended use. However, this prohibition does not preclude using any data, concept, or idea in the proposal that also is available from another source without restriction. (b) Government personnel shall not disclose restrictively marked information (see 3.104 and 15.609) included in an unsolicited proposal. The disclosure of such information concerning trade secrets, processes, operations, style of work, apparatus, and other matters, except as authorized by law, may result in criminal penalties under 18 U.S.C. 1905."
15.609,Limited use of data.,"(a) An unsolicited proposal may include data that the offeror does not want disclosed to the public for any purpose or used by the Government except for evaluation purposes. If the offeror wishes to restrict the data, the title page must be marked with the following legend: This proposal includes data that shall not be disclosed outside the Government and shall not be duplicated, used, or disclosed—in whole or in part—for any purpose other than to evaluate this proposal. However, if a contract is awarded to this offeror as a result of—or in connection with—the submission of these data, the Government shall have the right to duplicate, use, or disclose the data to the extent provided in the resulting contract. This restriction does not limit the Government's right to use information contained in these data if they are obtained from another source without restriction. The data subject to this restriction are contained in Sheets [ insert numbers or other identification of sheets ]. (b) The offeror shall also mark each sheet of data it wishes to restrict with the following legend: Use or disclosure of data contained on this sheet is subject to the restriction on the title page of this proposal. (c) The agency point of contact shall return to the offeror any unsolicited proposal marked with a legend different from that provided in paragraph (a) of this section. The return letter will state that the proposal cannot be considered because it is impracticable for the Government to comply with the legend and that the agency will consider the proposal if it is resubmitted with the proper legend. (d) The agency point of contact shall place a cover sheet on the proposal or clearly mark it as follows, unless the offeror clearly states in writing that no restrictions are imposed on the disclosure or use of the data contained in the proposal: All Government personnel must exercise extreme care to ensure that the information in this proposal is not disclosed to an individual who has not been authorized access to such data in accordance with FAR 3.104, and is not duplicated, used, or disclosed in whole or in part for any purpose other than evaluation of the proposal, without the written permission of the offeror. If a contract is awarded on the basis of this proposal, the terms of the contract shall control disclosure and use. This notice does not limit the Government's right to use information contained in the proposal if it is obtainable from another source without restriction. This is a Government notice, and shall not by itself be construed to impose any liability upon the Government or Government personnel for disclosure or use of data contained in this proposal. (e) Use the notice in paragraph (d) of this section solely as a manner of handling unsolicited proposals that will be compatible with this subpart. However, do not use this notice to justify withholding of a record, or to improperly deny the public access to a record, where an obligation is imposed by the Freedom of Information Act (5 U.S.C. 552). An offeror should identify trade secrets, commercial or financial information, and privileged or confidential information to the Government (see paragraph (a) of this section). (f) When an agency receives an unsolicited proposal without any restrictive legend from an educational or nonprofit organization or institution, and an evaluation outside the Government is necessary, the agency point of contact shall— (1) Attach a cover sheet clearly marked with the legend in paragraph (d) of this section; (2) Change the beginning of this legend to read “All Government and non-Government personnel * * * ”; and (3) Require any non-Government evaluator to agree in writing that data in the proposal will not be disclosed to others outside the Government. (g) If the proposal is received with the restrictive legend (see paragraph (a) of this section), the modified cover sheet shall also be used and permission shall be obtained from the offeror before release of the proposal for evaluation by non-Government personnel. (h) When an agency receives an unsolicited proposal with or without a restrictive legend from other than an educational or nonprofit organization or institution, and evaluation by Government personnel outside the agency or by experts outside of the Government is necessary, written permission must be obtained from the offeror before release of the proposal for evaluation. The agency point of contact shall— (1) Clearly mark the cover sheet with the legend in paragraph (d) or as modified in paragraph (f) of this section; and (2) Obtain a written agreement from any non-Government evaluator stating that data in the proposal will not be disclosed to persons outside the Government."
16.000,Scope of part.,This part describes types of contracts that may be used in acquisitions. It prescribes policies and procedures and provides guidance for selecting a contract type appropriate to the circumstances of the acquisition.
16.001,Definitions.,"As used in this part— Award-Fee Board means the team of individuals identified in the award-fee plan who have been designated to assist the Fee-Determining Official in making award-fee determinations. Fee-Determining Official (FDO) means the designated Agency official(s) who reviews the recommendations of the Award-Fee Board in determining the amount of award fee to be earned by the contractor for each evaluation period. Rollover of unearned award fee means the process of transferring unearned award fee, which the contractor had an opportunity to earn, from one evaluation period to a subsequent evaluation period, thus allowing the contractor an additional opportunity to earn that previously unearned award fee."
16.101,General.,"(a) A wide selection of contract types is available to the Government and contractors in order to provide needed flexibility in acquiring the large variety and volume of supplies and services required by agencies. Contract types vary according to (1) the degree and timing of the responsibility assumed by the contractor for the costs of performance and (2) the amount and nature of the profit incentive offered to the contractor for achieving or exceeding specified standards or goals. (b) The contract types are grouped into two broad categories: fixed-price contracts (see subpart 16.2) and cost-reimbursement contracts (see subpart 16.3). The specific contract types range from firm-fixed-price, in which the contractor has full responsibility for the performance costs and resulting profit (or loss), to cost-plus-fixed-fee, in which the contractor has minimal responsibility for the performance costs and the negotiated fee (profit) is fixed. In between are the various incentive contracts (see subpart 16.4), in which the contractor's responsibility for the performance costs and the profit or fee incentives offered are tailored to the uncertainties involved in contract performance."
16.102,Policies.,"(a) Contracts resulting from sealed bidding shall be firm-fixed-price contracts or fixed-price contracts with economic price adjustment. (b) Contracts negotiated under part 15 may be of any type or combination of types that will promote the Government's interest, except as restricted in this part (see 10 U.S.C. 2306(a) and 41 U.S.C. 3901). Contract types not described in this regulation shall not be used, except as a deviation under subpart 1.4. (c) The cost-plus-a-percentage-of-cost system of contracting shall not be used (see 10 U.S.C. 2306(a) and 41 U.S.C. 3905(a)). Prime contracts (including letter contracts) other than firm-fixed-price contracts shall, by an appropriate clause, prohibit cost- plus-a-percentage-of-cost subcontracts (see clauses prescribed in subpart 44.2 for cost-reimbursement contracts and subparts 16.2 and 16.4 for fixed-price contracts). (d) No contract may be awarded before the execution of any determination and findings (D&F's) required by this part. Minimum requirements for the content of D&F's required by this part are specified in 1.704."
16.103,Negotiating contract type.,"(a) Selecting the contract type is generally a matter for negotiation and requires the exercise of sound judgment. Negotiating the contract type and negotiating prices are closely related and should be considered together. The objective is to negotiate a contract type and price (or estimated cost and fee) that will result in reasonable contractor risk and provide the contractor with the greatest incentive for efficient and economical performance. (b) A firm-fixed-price contract, which best utilizes the basic profit motive of business enterprise, shall be used when the risk involved is minimal or can be predicted with an acceptable degree of certainty. However, when a reasonable basis for firm pricing does not exist, other contract types should be considered, and negotiations should be directed toward selecting a contract type (or combination of types) that will appropriately tie profit to contractor performance. (c) In the course of an acquisition program, a series of contracts, or a single long-term contract, changing circumstances may make a different contract type appropriate in later periods than that used at the outset. In particular, contracting officers should avoid protracted use of a cost-reimbursement or time-and-materials contract after experience provides a basis for firmer pricing. (d)(1) Each contract file shall include documentation to show why the particular contract type was selected. This shall be documented in the acquisition plan, or in the contract file if a written acquisition plan is not required by agency procedures. (i) Explain why the contract type selected must be used to meet the agency need. (ii) Discuss the Government's additional risks and the burden to manage the contract type selected ( e.g., when a cost-reimbursement contract is selected, the Government incurs additional cost risks, and the Government has the additional burden of managing the contractor's costs). For such instances, acquisition personnel shall discuss— (A) How the Government identified the additional risks ( e.g., pre-award survey, or past performance information); (B) The nature of the additional risks ( e.g., inadequate contractor's accounting system, weaknesses in contractor's internal control, non-compliance with Cost Accounting Standards, or lack of or inadequate earned value management system); and (C) How the Government will manage and mitigate the risks. (iii) Discuss the Government resources necessary to properly plan for, award, and administer the contract type selected ( e.g., resources needed and the additional risks to the Government if adequate resources are not provided). (iv) For other than a firm-fixed price contract, at a minimum the documentation should include— (A) An analysis of why the use of other than a firm-fixed-price contract ( e.g., cost reimbursement, time and materials, labor hour) is appropriate; (B) Rationale that detail the particular facts and circumstances ( e.g., complexity of the requirements, uncertain duration of the work, contractor's technical capability and financial responsibility, or adequacy of the contractor's accounting system), and associated reasoning essential to support the contract type selection; (C) An assessment regarding the adequacy of Government resources that are necessary to properly plan for, award, and administer other than firm-fixed-price contracts; and (D) A discussion of the actions planned to minimize the use of other than firm-fixed-price contracts on future acquisitions for the same requirement and to transition to firm-fixed-price contracts to the maximum extent practicable. (v) A discussion of why a level-of-effort, price redetermination, or fee provision was included. (2) Exceptions to the requirements at (d)(1) of this section are— (i) Fixed-price acquisitions made under simplified acquisition procedures; (ii) Contracts on a firm-fixed-price basis other than those for major systems or research and development; and (iii) Awards on the set-aside portion of sealed bid partial set-asides for small business."
16.104,Factors in selecting contract types.,"There are many factors that the contracting officer should consider in selecting and negotiating the contract type. They include the following: (a) Price competition. Normally, effective price competition results in realistic pricing, and a fixed-price contract is ordinarily in the Government's interest. (b) Price analysis. Price analysis with or without competition, may provide a basis for selecting the contract type. The degree to which price analysis can provide a realistic pricing standard should be carefully considered. (See 15.404-1(b).) (c) Cost analysis. In the absence of effective price competition and if price analysis is not sufficient, the cost estimates of the offeror and the Government provide the bases for negotiating contract pricing arrangements. It is essential that the uncertainties involved in performance and their possible impact upon costs be identified and evaluated, so that a contract type that places a reasonable degree of cost responsibility upon the contractor can be negotiated. (d) Type and complexity of the requirement. Complex requirements, particularly those unique to the Government, usually result in greater risk assumption by the Government. This is especially true for complex research and development contracts, when performance uncertainties or the likelihood of changes makes it difficult to estimate performance costs in advance. As a requirement recurs or as quantity production begins, the cost risk should shift to the contractor, and a fixed-price contract should be considered. (e) Combining contract types. If the entire contract cannot be firm-fixed-price, the contracting officer shall consider whether or not a portion of the contract can be established on a firm-fixed-price basis. (f) Urgency of the requirement. If urgency is a primary factor, the Government may choose to assume a greater proportion of risk or it may offer incentives tailored to performance outcomes to ensure timely contract performance. (g) Period of performance or length of production run. In times of economic uncertainty, contracts extending over a relatively long period may require economic price adjustment or price redetermination clauses. (h) Contractor's technical capability and financial responsibility. (i) Adequacy of the contractor's accounting system. Before agreeing on a contract type other than firm-fixed-price, the contracting officer shall ensure that the contractor's accounting system will permit timely development of all necessary cost data in the form required by the proposed contract type. This factor may be critical— (1) When the contract type requires price revision while performance is in progress; or (2) When a cost-reimbursement contract is being considered and all current or past experience with the contractor has been on a fixed-price basis. See 42.302(a)(12). (j) Concurrent contracts. If performance under the proposed contract involves concurrent operations under other contracts, the impact of those contracts, including their pricing arrangements, should be considered. (k) Extent and nature of proposed subcontracting. If the contractor proposes extensive subcontracting, a contract type reflecting the actual risks to the prime contractor should be selected. (l) Acquisition history. Contractor risk usually decreases as the requirement is repetitively acquired. Also, product descriptions or descriptions of services to be performed can be defined more clearly."
16.105,Solicitation provision.,"The contracting officer shall complete and insert the provision at 52.216-1, Type of Contract, in a solicitation unless it is for— (a) A fixed-price acquisition made under simplified acquisition procedures; or (b) Information or planning purposes."
16.201,General.,"(a) Fixed-price types of contracts provide for a firm price or, in appropriate cases, an adjustable price. Fixed-price contracts providing for an adjustable price may include a ceiling price, a target price (including target cost), or both. Unless otherwise specified in the contract, the ceiling price or target price is subject to adjustment only by operation of contract clauses providing for equitable adjustment or other revision of the contract price under stated circumstances. The contracting officer shall use firm-fixed-price or fixed-price with economic price adjustment contracts when acquiring commercial items, except as provided in 12.207(b). (b) Time-and-materials contracts and labor-hour contracts are not fixed-price contracts."
16.202,Firm-fixed-price contracts.,
16.202-1,Description.,A firm-fixed-price contract provides for a price that is not subject to any adjustment on the basis of the contractor's cost experience in performing the contract. This contract type places upon the contractor maximum risk and full responsibility for all costs and resulting profit or loss. It provides maximum incentive for the contractor to control costs and perform effectively and imposes a minimum administrative burden upon the contracting parties. The contracting officer may use a firm-fixed-price contract in conjunction with an award-fee incentive (see 16.404) and performance or delivery incentives (see 16.402-2 and 16.402-3) when the award fee or incentive is based solely on factors other than cost. The contract type remains firm-fixed-price when used with these incentives.
16.202-2,Application.,"A firm-fixed-price contract is suitable for acquiring commercial items (see parts 2 and 12) or for acquiring other supplies or services on the basis of reasonably definite functional or detailed specifications (see part 11) when the contracting officer can establish fair and reasonable prices at the outset, such as when— (a) There is adequate price competition; (b) There are reasonable price comparisons with prior purchases of the same or similar supplies or services made on a competitive basis or supported by valid certified cost or pricing data; (c) Available cost or pricing information permits realistic estimates of the probable costs of performance; or (d) Performance uncertainties can be identified and reasonable estimates of their cost impact can be made, and the contractor is willing to accept a firm fixed price representing assumption of the risks involved."
16.203,Fixed-price contracts with economic price adjustment.,
16.203-1,Description.,(a) A fixed-price contract with economic price adjustment provides for upward and downward revision of the stated contract price upon the occurrence of specified contingencies. Economic price adjustments are of three general types: (1) Adjustments based on established prices. These price adjustments are based on increases or decreases from an agreed-upon level in published or otherwise established prices of specific items or the contract end items. (2) Adjustments based on actual costs of labor or material. These price adjustments are based on increases or decreases in specified costs of labor or material that the contractor actually experiences during contract performance. (3) Adjustments based on cost indexes of labor or material. These price adjustments are based on increases or decreases in labor or material cost standards or indexes that are specifically identified in the contract. (b) The contracting officer may use a fixed-price contract with economic price adjustment in conjunction with an award-fee incentive (see 16.404) and performance or delivery incentives (see 16.402-2 and 16.402-3) when the award fee or incentive is based solely on factors other than cost. The contract type remains fixed-price with economic price adjustment when used with these incentives.
