secno,cfr_subject,statement,subject,modality,action_verb,object,target
15.402,Pricing policy.,"Requesting unnecessary data can lead to increased proposal preparation costs, generally extend acquisition lead time, and consume additional contractor and Government resources.",,permission,lead,contractor,costs
15.402,Pricing policy.,"If a fair and reasonable price cannot be established by the contracting officer from the analyses of the data obtained or submitted to date, the contracting officer shall require the submission of additional data sufficient for the contracting officer to support the determination of the fair and reasonable price.",officer,dispensation,require,determination,price
15.403-1,Prohibition on obtaining certified cost or pricing data (10 U.S.C. 2306a and 41 U.S.C. chapter 35).,"Based on the offer received, the contracting officer can reasonably conclude that the offer was submitted with the expectation of competition, e.g., circumstances indicate that— ( i )",circumstances,permission,conclude,,competition
15.403-1,Prohibition on obtaining certified cost or pricing data (10 U.S.C. 2306a and 41 U.S.C. chapter 35).,the contracting officer shall require submission of certified cost or pricing data.,officer,obligation,require,submission,data
15.403-1,Prohibition on obtaining certified cost or pricing data (10 U.S.C. 2306a and 41 U.S.C. chapter 35).,"In order to make this determination, the contracting officer may request the offeror to submit prices paid for the same or similar commercial items under comparable terms and conditions by both Government and commercial customers; and (C) If the contracting officer determines that the information described in paragraph (c)(3)(ii)(B) of this section is not sufficient to determine the reasonableness of price, other relevant information regarding the basis for price or cost, including information on labor costs, material costs and overhead rates may be requested.",information,permission,request,reasonableness,costs
15.403-3,Requiring data other than certified cost or pricing data.,(3) The contracting officer shall ensure that data used to support price negotiations are sufficiently current to permit negotiation of a fair and reasonable price.,data,obligation,ensure,negotiation,price
15.403-3,Requiring data other than certified cost or pricing data.,"In addition, the contracting officer should request data to determine the cost realism of competing offers or to evaluate competing approaches.",officer,obligation,request,approaches,offers
15.403-3,Requiring data other than certified cost or pricing data.,"(1) At a minimum, the contracting officer must use price analysis to determine whether the price is fair and reasonable whenever the contracting officer acquires a commercial item (see 15.404-1(b)).",officer,obligation,use,15.404,minimum
15.403-3,Requiring data other than certified cost or pricing data.,"If the contracting officer cannot determine whether an offered price is fair and reasonable, even after obtaining additional data from sources other than the offeror, then the contracting officer shall require the offeror to submit data other than certified cost or pricing data to support further analysis (see 15.404-1).",officer,dispensation,require,15.404,data
15.403-3,Requiring data other than certified cost or pricing data.,"This data may include history of sales to non-governmental and governmental entities, cost data, or any other information the contracting officer requires to determine the price is fair and reasonable.",officer,permission,include,price,entities
15.403-3,Requiring data other than certified cost or pricing data.,"Unless an exception under 15.403-1(b)(1) or (2) applies, the contracting officer shall require that the data submitted by the offeror include, at a minimum, appropriate data on the prices at which the same item or similar items have previously been sold, adequate for determining the reasonableness of the price.",item,obligation,require,reasonableness,price
15.403-3,Requiring data other than certified cost or pricing data.,The contracting officer shall limit requests for sales data relating to commercial items to data for the same or similar items during a relevant time period.,officer,obligation,limit,requests,period
15.403-4,Requiring certified cost or pricing data (10 U.S.C. 2306a and 41 U.S.C. chapter 35).,The contracting officer shall obtain certified cost or pricing data only if the contracting officer concludes that none of the exceptions in 15.403-1(b) applies.,none,obligation,obtain,data,15.403
15.403-4,Requiring certified cost or pricing data (10 U.S.C. 2306a and 41 U.S.C. chapter 35).,"However, if the contracting officer has reason to believe exceptional circumstances exist and has sufficient data available to determine a fair and reasonable price, then the contracting officer should consider requesting a waiver under the exception at 15.403-1(b)(4).",officer,obligation,consider,waiver,1(b)(4
15.403-4,Requiring certified cost or pricing data (10 U.S.C. 2306a and 41 U.S.C. chapter 35).,"Price adjustment amounts must consider both increases and decreases ( e.g., a $500,000 modification resulting from a reduction of $1,500,000 and an increase of $1,000,000 is a $2,500,000 pricing adjustment exceeding the $2,000,000 threshold).This requirement does not apply when unrelated and separately priced changes for which certified cost or pricing data would not otherwise be required are included for administrative convenience in the same modification.",data,obligation,consider,requirement,modification
15.403-4,Requiring certified cost or pricing data (10 U.S.C. 2306a and 41 U.S.C. chapter 35).,The head of the contracting activity shall justify the requirement for certified cost or pricing data.,head,obligation,justify,requirement,data
15.403-4,Requiring certified cost or pricing data (10 U.S.C. 2306a and 41 U.S.C. chapter 35).,The documentation shall include a written finding that certified cost or pricing data are necessary to determine whether the price is fair and reasonable and the facts supporting that finding.,price,obligation,include,finding,
15.403-4,Requiring certified cost or pricing data (10 U.S.C. 2306a and 41 U.S.C. chapter 35).,"(3) Upon the request of a contractor that was required to submit certified cost or pricing data in connection with a prime contract entered into before July 1, 2018, the contracting officer shall modify the contract, without requiring consideration, to reflect a $2 million threshold for obtaining certified cost or pricing data on subcontracts entered on and after July 1, 2018.",officer,obligation,modify,data,July
15.403-4,Requiring certified cost or pricing data (10 U.S.C. 2306a and 41 U.S.C. chapter 35).,"(b) When certified cost or pricing data are required, the contracting officer shall require the contractor or prospective contractor to submit to the contracting officer (and to have any subcontractor or prospective subcontractor submit to the prime contractor or appropriate subcontractor tier) the following in support of any proposal: (1) The certified cost or pricing data and data other than certified cost or pricing data required by the contracting officer to determine that the price is fair and reasonable.",price,obligation,require,following,officer
15.403-5,Instructions for submission of certified cost or pricing data and data other than certified cost or pricing data.,"(a) Taking into consideration the policy at 15.402, the contracting officer shall specify in the solicitation (see 15.408 (l) and (m))— (1) Whether certified cost or pricing data are required; (2) That, in lieu of submitting certified cost or pricing data, the offeror may submit a request for exception from the requirement to submit certified cost or pricing data; (3) Any requirement for data other than certified cost or pricing data; and (4) The requirement for necessary preaward or postaward access to offeror's records.",offeror,obligation,specify,data,records
15.403-5,Instructions for submission of certified cost or pricing data and data other than certified cost or pricing data.,"When certification is required, the contracting officer may require submission of certified cost or pricing data in the format indicated in Table 15-2 of 15.408, specify an alternative format, or permit submission in the contractor's format (See 15.408(l)(1)), unless the data are required to be submitted on one of the termination forms specified in subpart 49.6.",data,permission,require,submission,subpart
15.404-1,Proposal analysis techniques.,The complexity and circumstances of each acquisition should determine the level of detail of the analysis required.,complexity,obligation,determine,level,analysis
15.404-1,Proposal analysis techniques.,(5) The contracting officer may request the advice and assistance of other experts to ensure that an appropriate analysis is performed.,analysis,permission,request,advice,experts
15.404-1,Proposal analysis techniques.,"Unless an exception from the requirement to obtain certified cost or pricing data applies under 15.403-1(b)(1) or (b)(2), at a minimum, the contracting officer shall obtain appropriate data, without certification, on the prices at which the same or similar items have previously been sold and determine if the data is adequate for evaluating the reasonableness of the price.",data,obligation,obtain,reasonableness,price
15.404-1,Proposal analysis techniques.,Price analysis may include evaluating data other than certified cost or pricing data obtained from the offeror or contractor when there is no other means for determining a fair and reasonable price.,analysis,permission,include,price,offeror
15.404-1,Proposal analysis techniques.,"Contracting officers shall obtain data other than certified cost or pricing data from the offeror or contractor for all acquisitions (including commercial item acquisitions), if that is the contracting officer's only means to determine the price to be fair and reasonable.",that,obligation,obtain,price,acquisitions
15.404-1,Proposal analysis techniques.,"For similar items, the contracting officer must also adjust the prior price to account for material differences between the similar item and the item being procured.",item,obligation,adjust,price,item
15.404-1,Proposal analysis techniques.,"However, if the contracting officer determines that information on competitive proposed prices or previous contract prices is not available or is insufficient to determine that the price is fair and reasonable, the contracting officer may use any of the remaining techniques as appropriate to the circumstances applicable to the acquisition.",officer,permission,use,any,acquisition
15.404-1,Proposal analysis techniques.,(4) Value analysis can give insight into the relative worth of a product and the Government may use it in conjunction with the price analysis techniques listed in paragraph (b)(2) of this section.,Government,permission,give,it,section
15.404-1,Proposal analysis techniques.,"In conducting this evaluation, the contracting officer shall ensure that the effects of inefficient or uneconomical past practices are not projected into the future.",effects,obligation,ensure,evaluation,future
15.404-1,Proposal analysis techniques.,"In pricing production of recently developed complex equipment, the contracting officer should perform a trend analysis of basic labor and materials, even in periods of relative price stability.",officer,obligation,perform,analysis,stability
15.404-1,Proposal analysis techniques.,"If there are such data, the contracting officer shall attempt to obtain and use them in the negotiations or make satisfactory allowance for the incomplete data.",officer,obligation,attempt,allowance,data
15.404-1,Proposal analysis techniques.,The probable cost may differ from the proposed cost and should reflect the Government's best estimate of the cost of any contract that is most likely to result from the offeror's proposal.,that,obligation,differ,estimate,proposal
15.404-1,Proposal analysis techniques.,"(1) The contracting officer should request that personnel having specialized knowledge, skills, experience, or capability in engineering, science, or management perform a technical analysis of the proposed types and quantities of materials, labor, processes, special tooling, equipment or real property, the reasonableness of scrap and spoilage, and other associated factors set forth in the proposal(s) in order to determine the need for and reasonableness of the proposed resources, assuming reasonable economy and efficiency.",personnel,obligation,request,economy,resources
15.404-1,Proposal analysis techniques.,"(2) At a minimum, the technical analysis should examine the types and quantities of material proposed and the need for the types and quantities of labor hours and the labor mix.",analysis,obligation,examine,types,hours
15.404-1,Proposal analysis techniques.,"(3) The contracting officer should request technical assistance in evaluating pricing related to items that are “similar to” items being purchased, or commercial items that are “of a type” or requiring minor modifications, to ascertain the magnitude of changes required and to assist in pricing the required changes.",that,obligation,request,changes,changes
15.404-1,Proposal analysis techniques.,"Except when pricing an item on the basis of adequate price competition or catalog or market price, unit prices shall reflect the intrinsic value of an item or service and shall be in proportion to an item's base cost (e.g., manufacturing or acquisition costs).",prices,obligation,reflect,value,cost
15.404-1,Proposal analysis techniques.,"Except for the acquisition of commercial items, contracting officers shall require that offerors identify in their proposals those items of supply that they will not manufacture or to which they will not contribute significant value, unless adequate price competition is expected (10 U.S.C. 2306a(b)(1)(A)(i) and 41 U.S.C. 3503(a)(1)(A)).",competition,obligation,require,value,which
15.404-1,Proposal analysis techniques.,The contracting officer should require such information in all other negotiated contracts when appropriate.,officer,obligation,require,information,contracts
15.404-1,Proposal analysis techniques.,(1) Unbalanced pricing may increase performance risk and could result in payment of unreasonably high prices.,pricing,permission,increase,risk,prices
15.404-2,Data to support proposal analysis.,(1) The contracting officer should request field pricing assistance when the information available at the buying activity is inadequate to determine a fair and reasonable price.,information,obligation,request,price,activity
15.404-2,Data to support proposal analysis.,The contracting officer shall tailor requests to reflect the minimum essential supplementary information needed to conduct a technical or cost or pricing analysis.,officer,obligation,tailor,analysis,
15.404-2,Data to support proposal analysis.,(2) The contracting officer shall tailor the type of information and level of detail requested in accordance with the specialized resources available at the buying activity and the magnitude and complexity of the required analysis.,officer,obligation,tailor,type,analysis
15.404-2,Data to support proposal analysis.,"(4) When requesting field pricing assistance on a contractor's request for equitable adjustment, the contracting officer shall provide the information listed in 43.204(b)(5).",officer,obligation,provide,information,43.204(b)(5
15.404-2,Data to support proposal analysis.,(5) Field pricing information and other reports may include proprietary or source selection information (see 2.101).,information,permission,include,information,
15.404-2,Data to support proposal analysis.,"(ii) When it is necessary to have written technical and audit reports, the contracting officer shall request that the audit agency concurrently forward the audit report to the requesting contracting officer and the administrative contracting officer (ACO).",officer,obligation,request,reports,officer
15.404-2,Data to support proposal analysis.,"The completed field pricing assistance results may reference audit information, but need not reconcile the audit recommendations and technical recommendations.",results,permission,reference,recommendations,
15.404-2,Data to support proposal analysis.,"(1) The contracting officer should contact the cognizant audit office directly, particularly when an audit is the only field pricing support required.",audit,obligation,contact,office,
15.404-2,Data to support proposal analysis.,"The audit office shall send the audit report, or otherwise transmit the audit recommendations, directly to the contracting officer.",office,obligation,send,recommendations,officer
15.404-2,Data to support proposal analysis.,"However, the auditor may discuss statements of facts with the contractor.",auditor,permission,discuss,statements,contractor
15.404-2,Data to support proposal analysis.,"The contracting officer should be notified immediately of any information disclosed to the auditor after submission of a report that may significantly affect the audit findings and, if necessary, a supplemental audit report shall be issued.",report,obligation,notify,findings,report
15.404-2,Data to support proposal analysis.,"Should the offeror/contractor again refuse to provide adequate data, or provide access to necessary data, the contracting officer shall withhold the award or price adjustment and refer the contract action to a higher authority, providing details of the attempts made to resolve the matter and a statement of the practicability of obtaining the supplies or services from another source.",officer,obligation,refuse,supplies,source
15.404-3,Subcontract pricing considerations.,"The contracting officer should consider whether a contractor or subcontractor has an approved purchasing system, has performed cost or price analysis of proposed subcontractor prices, or has negotiated the subcontract prices before negotiation of the prime contract, in determining the reasonableness of the prime contract price.",contractor,obligation,consider,reasonableness,price
15.404-3,Subcontract pricing considerations.,"(1) The contractor shall submit, or cause to be submitted by the subcontractor(s), certified cost or pricing data to the Government for subcontracts that are the lower of either— (i) $13.5 million or more; or (ii) Both more than the pertinent certified cost or pricing data threshold and more than 10 percent of the prime contractor's proposed price, unless the contracting officer believes such submission is unnecessary.",submission,obligation,submit,data,price
15.404-3,Subcontract pricing considerations.,(2) The contracting officer should require the contractor or subcontractor to submit to the Government (or cause submission of) subcontractor certified cost or pricing data below the thresholds in paragraph (c)(1) of this subsection and data other than certified cost or pricing data that the contracting officer considers necessary for adequately pricing the prime contract.,officer,obligation,require,contract,data
15.404-3,Subcontract pricing considerations.,"The contractor shall update subcontractor's data, as appropriate, during source selection and negotiations.",contractor,obligation,update,data,selection
15.404-4,Profit.,"Rather, they represent that element of the potential total remuneration that contractors may receive for contract performance over and above allowable costs.",contractors,permission,represent,that,costs
15.404-4,Profit.,"Just as actual costs may vary from estimated costs, the contractor's actual realized profit or fee may vary from negotiated profit or fee, because of such factors as efficiency of performance, incurrence of costs the Government does not recognize as allowable, and the contract type.",Government,permission,vary,,costs
15.404-4,Profit.,(2) Agencies may use another agency's structured approach.,Agencies,permission,use,approach,
15.404-4,Profit.,"(2) When the price negotiation is based on cost analysis, contracting officers in agencies that have a structured approach shall use it to analyze profit.",that,obligation,use,profit,agencies
15.404-4,Profit.,"When not using a structured approach, contracting officers shall comply with paragraph (d)(1) of this subsection in developing profit or fee prenegotiation objectives.",officers,obligation,comply,objectives,subsection
15.404-4,Profit.,(3) Contracting officers shall use the Government prenegotiation cost objective amounts as the basis for calculating the profit or fee prenegotiation objective.,officers,obligation,use,objective,basis
15.404-4,Profit.,"Before applying profit or fee factors, the contracting officer shall exclude from the pre-negotiation cost objective amounts the purchase cost of contractor-acquired property that is categorized as equipment, as defined in FAR 45.101, and where such equipment is to be charged directly to the contract.",equipment,obligation,exclude,cost,contract
15.404-4,Profit.,"Before applying profit or fee factors, the contracting officer shall exclude any facilities capital cost of money included in the cost objective amounts.",officer,obligation,exclude,cost,amounts
15.404-4,Profit.,"(6) If a change or modification calls for essentially the same type and mix of work as the basic contract and is of relatively small dollar value compared to the total contract value, the contracting officer may use the basic contract's profit or fee rate as the prenegotiation objective for that change or modification.",officer,permission,use,rate,change
15.404-4,Profit.,Profit consideration should correspond to the managerial and technical effort involved.,consideration,obligation,correspond,,effort
15.404-4,Profit.,This factor should compensate contractors proportionately for assuming greater cost risks.,factor,obligation,compensate,risks,
15.404-4,Profit.,"Some firm-fixed-price contracts may entail substantially less cost risk than others because, for example, the contract task is less complex or many of the contractor's costs are known at the time of price agreement, in which case the risk factor should be reduced accordingly.",factor,obligation,entail,risk,agreement
15.404-4,Profit.,The contracting officer should consider whether the development cost was recovered directly or indirectly from Government sources.,cost,obligation,consider,,sources
15.404-4,Profit.,"In order to foster achievement of program objectives, each agency may include additional factors in its structured approach or take them into account in the profit analysis of individual contract actions.",agency,permission,include,them,actions
15.405,Price negotiation.,"However, when significant audit or other specialist recommendations are not adopted, the contracting officer should provide rationale that supports the negotiation result in the price negotiation documentation.",that,obligation,provide,result,documentation
15.405,Price negotiation.,"(d) If, however, the contractor insists on a price or demands a profit or fee that the contracting officer considers unreasonable, and the contracting officer has taken all authorized actions (including determining the feasibility of developing an alternative source) without success, the contracting officer shall refer the contract action to a level above the contracting officer.",officer,obligation,refer,action,officer
15.406-1,Prenegotiation objectives.,(b) The contracting officer shall establish prenegotiation objectives before the negotiation of any pricing action.,officer,obligation,establish,objectives,action
15.406-1,Prenegotiation objectives.,"When cost analysis is required, the contracting officer shall document the pertinent issues to be negotiated, the cost objectives, and a profit or fee objective.",officer,obligation,document,issues,
15.406-2,Certificate of current cost or pricing data.,"(a) When certified cost or pricing data are required, the contracting officer shall require the contractor to execute a Certificate of Current Cost or Pricing Data, using the format in this paragraph, and must include the executed certificate in the contract file.",officer,obligation,require,certificate,file
15.406-3,Documenting the negotiation.,(a) The contracting officer shall document in the contract file the principal elements of the negotiated agreement.,officer,obligation,document,elements,agreement
15.406-3,Documenting the negotiation.,"Where the determination of a fair and reasonable price is based on cost analysis, the summary shall address each major cost element.",summary,obligation,address,element,analysis
15.406-3,Documenting the negotiation.,"When determination of a fair and reasonable price is based on price analysis, the summary shall include the source and type of data used to support the determination.",summary,obligation,include,determination,data
15.406-3,Documenting the negotiation.,"(b) Whenever field pricing assistance has been obtained, the contracting officer shall forward a copy of the negotiation documentation to the office(s) providing assistance.",officer,obligation,forward,assistance,office(s
15.407-1,Defective certified cost or pricing data.,"(a) If, before agreement on price, the contracting officer learns that any certified cost or pricing data submitted are inaccurate, incomplete, or noncurrent, the contracting officer shall immediately bring the matter to the attention of the prospective contractor, whether the defective data increase or decrease the contract price.",officer,obligation,bring,price,contractor
15.407-1,Defective certified cost or pricing data.,"The contracting officer shall consider any new data submitted to correct the deficiency, or consider the inaccuracy, incompleteness, or noncurrency of the data when negotiating the contract price.",officer,obligation,consider,price,data
15.407-1,Defective certified cost or pricing data.,The price negotiation memorandum shall reflect the adjustments made to the data or the corrected data used to negotiate the contract price.,memorandum,obligation,reflect,price,data
15.407-1,Defective certified cost or pricing data.,"In arriving at a price adjustment, the contracting officer shall consider the time by which the certified cost or pricing data became reasonably available to the contractor, and the extent to which the Government relied upon the defective data.",Government,obligation,consider,time,data
15.407-1,Defective certified cost or pricing data.,"(4) Subject to paragraphs (b) (5) and (6) of this subsection, the contracting officer shall allow an offset for any understated certified cost or pricing data submitted in support of price negotiations, up to the amount of the Government's claim for overstated pricing data arising out of the same pricing action (e.g., the initial pricing of the same contract or the pricing of the same change order).",officer,obligation,allow,offset,order
15.407-1,Defective certified cost or pricing data.,"In arriving at the amount due for penalties on contracts where the submission of defective certified cost or pricing data was a knowing submission, the contracting officer shall obtain an amount equal to the amount of overpayment made.",officer,obligation,obtain,amount,overpayment
15.407-1,Defective certified cost or pricing data.,"Before taking any contractual actions concerning penalties, the contracting officer shall obtain the advice of counsel.",officer,obligation,obtain,advice,counsel
15.407-1,Defective certified cost or pricing data.,"In the demand letter, the contracting officer shall separately include— (A) The repayment amount; (B) The penalty amount (if any); (C)",officer,obligation,include,amount,letter
15.407-1,Defective certified cost or pricing data.,"(c) If, after award, the contracting officer learns or suspects that the data furnished were not accurate, complete, and current, or were not adequately verified by the contractor as of the time of negotiation, the contracting officer shall request an audit to evaluate the accuracy, completeness, and currency of the data.",officer,obligation,request,accuracy,data
15.407-1,Defective certified cost or pricing data.,"(d) For each advisory audit received based on a postaward review that indicates defective pricing, the contracting officer shall make a determination as to whether or not the data submitted were defective and relied upon.",data,obligation,make,determination,review
15.407-1,Defective certified cost or pricing data.,"Before making such a determination, the contracting officer should give the contractor an opportunity to support the accuracy, completeness, and currency of the data in question.",officer,obligation,give,accuracy,question
15.407-1,Defective certified cost or pricing data.,The contracting officer shall prepare a memorandum documenting both the determination and any corrective action taken as a result.,officer,obligation,prepare,determination,result
15.407-1,Defective certified cost or pricing data.,"The contracting officer shall send one copy of this memorandum to the auditor and, if the contract has been assigned for administration, one copy to the administrative contracting officer (ACO).",contract,obligation,send,copy,officer
15.407-1,Defective certified cost or pricing data.,Agencies shall ensure updated information that changes a contracting officer's prior final determination is reported into the FAPIIS module of Contractor Performance Assessment Reporting System (CPARS) in the event of a— (1) Contracting officer's decision in accordance with the Contract Disputes statute; (2) Board of Contract Appeals decision; or (3) Court decision.,determination,obligation,ensure,information,decision
15.407-1,Defective certified cost or pricing data.,"To the extent necessary to secure a prime contract price reduction, the contracting officer should make this information available to the prime contractor or appropriate subcontractors, upon request.",information,obligation,make,reduction,request
15.407-1,Defective certified cost or pricing data.,"If release of the information would compromise Government security or disclose trade secrets or confidential business information, the contracting officer shall release it only under conditions that will protect it from improper disclosure.",that,obligation,release,it,disclosure
15.407-1,Defective certified cost or pricing data.,"In order to afford an opportunity for corrective action, the contracting officer should give the prime contractor reasonable advance notice before determining to reduce the prime contract price.",officer,obligation,give,price,action
15.407-2,Make-or-buy programs.,"(1) Contracting officers may require prospective contractors to submit make-or-buy program plans for negotiated acquisitions requiring certified cost or pricing data whose estimated value is $13.5 million or more, except when the proposed contract is for research or development and, if prototypes or hardware are involved, no significant follow-on production is anticipated.",production,permission,require,data,research
15.407-2,Make-or-buy programs.,(2) Contracting officers may require prospective contractors to submit make-or-buy programs for negotiated acquisitions whose estimated value is under $13.5 million only if the contracting officer— (i) Determines that the information is necessary; and (ii) Documents the reasons in the contract file.,information,permission,require,reasons,file
15.407-2,Make-or-buy programs.,"When prospective contractors are required to submit proposed make-or-buy programs, the solicitation shall include— (1) A statement that the program and required supporting information must accompany the offer; and (2) A description of factors to be used in evaluating the proposed program, such as capability, capacity, availability of small, small disadvantaged, women-owned, veteran-owned, HUBZone, and service-disabled veteran-owned small business concerns for subcontracting, establishment of new facilities in or near labor surplus areas, delivery or performance schedules, control of technical and schedule interfaces, proprietary processes, technical superiority or exclusiveness, and technical risks involved.",program,obligation,include,availability,interfaces
15.407-2,Make-or-buy programs.,(2) The offeror's program should include or be supported by the following information: (i),program,obligation,include,,information
15.407-2,Make-or-buy programs.,The reasons must include the consideration given to the evaluation factors described in the solicitation and must be in sufficient detail to permit the contracting officer to evaluate the categorization or proposal.,reasons,obligation,include,categorization,detail
15.407-2,Make-or-buy programs.,Contracting officers shall evaluate and negotiate proposed make-or-buy programs as soon as practicable after their receipt and before contract award.,officers,obligation,evaluate,programs,award
15.407-2,Make-or-buy programs.,"(1) When the program is to be incorporated in the contract and the design status of the product being acquired does not permit accurate precontract identification of major items or work efforts, the contracting officer shall notify the prospective contractor in writing that these items or efforts, when identifiable, shall be added under the clause at 52.215-9, Changes or Additions to Make-or-Buy Program.",items,dispensation,notify,Program,52.215
15.407-2,Make-or-buy programs.,"However, the contracting officer may agree to these as “make items” if an overall lower Governmentwide cost would result or it is otherwise in the best interest of the Government.",it,permission,agree,items,Government
15.407-2,Make-or-buy programs.,"If this situation occurs in any fixed-price incentive or cost-plus-incentive-fee contract, the contracting officer shall specify these items in the contract and state that they are subject to paragraph (d) of the clause at 52.215-9, Changes or Additions to Make-or-Buy Program (see 15.408(a)).",they,obligation,specify,Program,52.215
15.407-2,Make-or-buy programs.,"The contracting officer may incorporate the make-or-buy program in negotiated contracts for— (1) Major systems (see part 34) or their subsystems or components, regardless of contract type; or (2) Other supplies and services if— (i)",officer,permission,incorporate,part,type
15.407-3,Forward pricing rate agreements.,Conditions that may affect the agreement's validity shall be reported promptly to the ACO.,that,obligation,report,validity,ACO
15.407-3,Forward pricing rate agreements.,"When a forward pricing rate agreement or other advance agreement is used to price a contract action that requires a certificate, the certificate supporting that contract action shall cover the data supplied to support the FPRA or other advance agreement, and all other data supporting the action.",certificate,obligation,cover,action,
15.407-4,Should-cost review.,The scope of a should-cost review can range from a large-scale review examining the contractor's entire operation (including plant-wide overhead and selected major subcontractors) to a small-scale tailored review examining specific portions of a contractor's operation.,scope,obligation,range,portions,operation
15.407-4,Should-cost review.,(3) The contracting officer should decide which elements of the contractor's operation have the greatest potential for cost savings and assign the available personnel resources accordingly.,elements,obligation,decide,resources,savings
15.407-4,Should-cost review.,The contracting officer shall consider the findings and recommendations contained in the program should-cost review team report when negotiating the contract price.,findings,obligation,consider,price,program
15.407-4,Should-cost review.,"After completing the negotiation, the contracting officer shall provide the ACO a report of any identified uneconomical or inefficient practices, together with a report of correction or disposition agreements reached with the contractor.",officer,obligation,provide,report,contractor
15.407-4,Should-cost review.,The contracting officer shall establish a follow-up plan to monitor the correction of the uneconomical or inefficient practices.,officer,obligation,establish,correction,practices
15.407-4,Should-cost review.,"(5) When a program should-cost review is planned, the contracting officer should state this fact in the acquisition plan or acquisition plan updates (see subpart 7.1) and in the solicitation.",officer,obligation,state,subpart,solicitation
15.407-5,Estimating systems.,(b) The auditor shall send a copy of the estimating system survey report and a copy of the official notice of corrective action required to each contracting office and contract administration office having substantial business with that contractor.,auditor,obligation,send,business,contractor
15.408,Solicitation provisions and contract clauses.,"The contracting officer shall insert the clause at 52.215-9, Changes or Additions to Make-or-Buy Program, in solicitations and contracts when it is contemplated that a make-or- buy program will be incorporated in the contract.",program,obligation,insert,Program,contract
15.408,Solicitation provisions and contract clauses.,"If a less economical “make” or “buy” categorization is selected for one or more items of significant value, the contracting officer shall use the clause with— (1)",officer,obligation,use,clause,1
15.408,Solicitation provisions and contract clauses.,"The contracting officer shall— (1) Insert the clause at 52.215-12, Subcontractor Certified Cost or Pricing Data, in solicitations and contracts when the clause prescribed in paragraph (b) of this section is included; or (2) Upon the request of a contractor that was required to submit certified cost or pricing data in connection with a prime contract entered into before July 1, 2018, the contracting officer shall modify the contract without requiring consideration, to replace clause 52.215-12, Subcontractor Certified Cost or Pricing Data, with its Alternate I. (e) Subcontractor Certified Cost or Pricing Data—Modifications.",officer,obligation,Insert,Data,Data
15.408,Solicitation provisions and contract clauses.,"The contracting officer shall— (1) Insert the clause at 52.215-13, Subcontractor Certified Cost or Pricing Data—Modifications, in solicitations and contracts when the clause prescribed in paragraph (c) of this section is included; or (2) Upon the request of a contractor that was required to submit certified cost or pricing data in connection with a prime contract entered into before July 1, 2018, the contracting officer shall modify the contract without requiring consideration, to replace clause 52.215-13, Subcontractor Certified Cost or Pricing Data—Modifications, with its Alternate I. (f) Integrity of Unit Prices.",officer,obligation,Insert,clause,Prices
15.408,Solicitation provisions and contract clauses.,"(1) The contracting officer shall insert the clause at 52.215-14, Integrity of Unit Prices, in solicitations and contracts except for— (i) Acquisitions at or below the simplified acquisition threshold; (ii) Construction or architect-engineer services under part 36; (iii) Utility services under part 41; (iv) Service contracts where supplies are not required; (v) Acquisitions of commercial items; and (vi) Contracts for petroleum products.",supplies,obligation,insert,contracts,products
15.408,Solicitation provisions and contract clauses.,(2) The contracting officer shall insert the clause with its Alternate I when contracting without adequate price competition or when prescribed by agency regulations.,officer,obligation,insert,clause,regulations
15.408,Solicitation provisions and contract clauses.,"The contracting officer shall insert the clause at 52.215-15, Pension Adjustments and Asset Reversions, in solicitations and contracts for which it is anticipated that certified cost or pricing data will be required or for which any preaward or postaward cost determinations will be subject to part 31.",preaward,obligation,insert,clause,part
15.408,Solicitation provisions and contract clauses.,"The contracting officer shall insert the provision at 52.215-16, Facilities Capital Cost of Money, in solicitations expected to result in contracts that are subject to the cost principles for contracts with commercial organizations (see subpart 31.2).",that,obligation,insert,subpart,organizations
15.408,Solicitation provisions and contract clauses.,"If the prospective contractor does not propose facilities capital cost of money in its offer, the contracting officer shall insert the clause at 52.215-17, Waiver of Facilities Capital Cost of Money, in the resulting contract.",officer,obligation,insert,clause,contract
15.408,Solicitation provisions and contract clauses.,"The contracting officer shall insert the clause at 52.215-18, Reversion or Adjustment of Plans for Postretirement Benefits (PRB) Other Than Pensions, in solicitations and contracts for which it is anticipated that certified cost or pricing data will be required or for which any preaward or postaward cost determinations will be subject to part 31.",preaward,obligation,insert,clause,part
15.408,Solicitation provisions and contract clauses.,"The contracting officer shall insert the clause at 52.215-19, Notification of Ownership Changes, in solicitations and contracts for which it is contemplated that certified cost or pricing data will be required or for which any preaward or postaward cost determination will be subject to subpart 31.2.",determination,obligation,insert,clause,subpart
15.408,Solicitation provisions and contract clauses.,"Considering the hierarchy at 15.402, the contracting officer shall insert the provision at 52.215-20, Requirements for Certified Cost or Pricing Data and Data Other Than Certified Cost or Pricing Data, in solicitations if it is reasonably certain that certified cost or pricing data or data other than certified cost or pricing data will be required.",data,obligation,insert,Requirements,data
15.408,Solicitation provisions and contract clauses.,"The contracting officer shall— (1) Use the provision with its Alternate I to specify a format for certified cost or pricing data other than the format required by Table 15-2 of this section; (2) Use the provision with its Alternate II if copies of the proposal are to be sent to the ACO and contract auditor; (3) Use the provision with its Alternate III if submission via electronic media is required; and (4) Replace the basic provision with its Alternate IV if certified cost or pricing data are not expected to be required because an exception may apply, but data other than certified cost or pricing data will be required as described in 15.403-3.",data,obligation,Use,provision,15.403
